configuration,label,runs,field_relative_l2_error_mean,field_relative_l2_error_std,interface_l2_error_mean,interface_l2_error_std,reflectance_mean,reflectance_std,transmittance_mean,transmittance_std,energy_error_mean,energy_error_std,training_time_s_mean,training_time_s_std
baseline,Baseline,3,0.00520675095311994,0.005393342495244786,5.4457660937046294e-05,8.038006603350459e-05,4.505576329399785e-05,6.803740003371378e-05,0.9917341066921157,0.0065608891774468605,0.008220837544590279,0.006493286069864325,0.0,0.0
optimizer_refinement,Scheduler + L-BFGS,3,0.0003439515174533522,0.00042588498225337495,6.07070052571592e-07,1.008740276735505e-06,1.859592609670048e-07,2.883967812479314e-07,0.9994709252085014,0.0010655356555873637,0.0006667368099398571,0.0009420936353604893,0.0,0.0
dynamic_weighting,Dynamic weighting,3,0.0006882626579225477,0.0011227647154583183,4.788771973089452e-05,8.293651585695914e-05,1.990963881481017e-09,1.0377520022234887e-09,0.9999866834823926,7.61777210583841e-05,5.462209093080409e-05,3.992176529679852e-05,0.0,0.0
adaptive_sampling,Adaptive sampling,3,0.004753328363718148,0.0028882598111994798,0.00013684662224569836,6.175785787462938e-05,2.588237754329496e-05,3.184948479320631e-05,0.9917121632292559,0.004089582044359734,0.008261954393200729,0.004057739657546456,0.0,0.0
complete_optimized,Complete optimized,3,1.3208476110143458e-05,5.9434346696738545e-06,1.028194827284572e-10,7.438748800412012e-11,1.9840818756548505e-10,1.6497896990102282e-10,1.0000106367940536,1.5343043286690542e-05,1.26375533092693e-05,1.2867314062781316e-05,0.0,0.0
