model,label,frequency_ratio,operating_frequency_ghz,runs,field_relative_l2_error_mean,field_relative_l2_error_std,field_relative_l2_error_min,field_relative_l2_error_max,r_absolute_error_mean,r_absolute_error_std,r_absolute_error_min,r_absolute_error_max,t_absolute_error_mean,t_absolute_error_std,t_absolute_error_min,t_absolute_error_max,reflectance_pinn_mean,reflectance_pinn_std,reflectance_pinn_min,reflectance_pinn_max,reflectance_reference_mean,reflectance_reference_std,reflectance_reference_min,reflectance_reference_max,reflectance_absolute_error_mean,reflectance_absolute_error_std,reflectance_absolute_error_min,reflectance_absolute_error_max,transmittance_pinn_mean,transmittance_pinn_std,transmittance_pinn_min,transmittance_pinn_max,transmittance_reference_mean,transmittance_reference_std,transmittance_reference_min,transmittance_reference_max,transmittance_absolute_error_mean,transmittance_absolute_error_std,transmittance_absolute_error_min,transmittance_absolute_error_max,energy_error_mean,energy_error_std,energy_error_min,energy_error_max,training_time_s_mean,training_time_s_std,training_time_s_min,training_time_s_max
full_domain,Full-domain PINN,0.9,135.0,1,0.020626791301949828,0.0,0.020626791301949828,0.020626791301949828,0.029015573533479635,0.0,0.029015573533479635,0.029015573533479635,0.002827473003882908,0.0,0.002827473003882908,0.002827473003882908,0.01659607036217272,0.0,0.01659607036217272,0.01659607036217272,0.010370606345077384,0.0,0.010370606345077384,0.010370606345077384,0.0062254640170953356,0.0,0.0062254640170953356,0.0062254640170953356,0.982565288917296,0.0,0.982565288917296,0.982565288917296,0.9896293936549228,0.0,0.9896293936549228,0.9896293936549228,0.007064104737626753,0.0,0.007064104737626753,0.007064104737626753,0.0008386407205313029,0.0,0.0008386407205313029,0.0008386407205313029,472.3990867137909,0.0,472.3990867137909,472.3990867137909
full_domain,Full-domain PINN,0.95,142.5,1,0.013154375443328183,0.0,0.013154375443328183,0.013154375443328183,0.006853623524282139,0.0,0.006853623524282139,0.006853623524282139,0.01024839379212561,0.0,0.01024839379212561,0.01024839379212561,0.0029438563931895308,0.0,0.0029438563931895308,0.0029438563931895308,0.0026291172979987123,0.0,0.0026291172979987123,0.0026291172979987123,0.0003147390951908184,0.0,0.0003147390951908184,0.0003147390951908184,0.9967258006747476,0.0,0.9967258006747476,0.9967258006747476,0.9973708827020016,0.0,0.9973708827020016,0.9973708827020016,0.0006450820272539959,0.0,0.0006450820272539959,0.0006450820272539959,0.0003303429320629103,0.0,0.0003303429320629103,0.0003303429320629103,390.6305148601532,0.0,390.6305148601532,390.6305148601532
full_domain,Full-domain PINN,1.0,150.0,1,0.01272136610689077,0.0,0.01272136610689077,0.01272136610689077,0.011003706845393117,0.0,0.011003706845393117,0.011003706845393117,0.010507743056063041,0.0,0.010507743056063041,0.010507743056063041,0.00012108156433934379,0.0,0.00012108156433934379,0.00012108156433934379,3.357010549630938e-31,0.0,3.357010549630938e-31,3.357010549630938e-31,0.00012108156433934379,0.0,0.00012108156433934379,0.00012108156433934379,0.999777814618637,0.0,0.999777814618637,0.999777814618637,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.00022218538136287158,0.0,0.00022218538136287158,0.00022218538136287158,0.00010110381702366222,0.0,0.00010110381702366222,0.00010110381702366222,3630.5262875556946,0.0,3630.5262875556946,3630.5262875556946
full_domain,Full-domain PINN,1.05,157.5,1,0.00831315227955362,0.0,0.00831315227955362,0.00831315227955362,0.008836838895982385,0.0,0.008836838895982385,0.008836838895982385,0.000999295361328546,0.0,0.000999295361328546,0.000999295361328546,0.0019291197560602504,0.0,0.0019291197560602504,0.0019291197560602504,0.0026291172979987006,0.0,0.0026291172979987006,0.0026291172979987006,0.0006999975419384502,0.0,0.0006999975419384502,0.0006999975419384502,0.9978332671907201,0.0,0.9978332671907201,0.9978332671907201,0.9973708827020011,0.0,0.9973708827020011,0.9973708827020011,0.00046238448871893656,0.0,0.00046238448871893656,0.00046238448871893656,0.0002376130532196763,0.0,0.0002376130532196763,0.0002376130532196763,480.4488298892975,0.0,480.4488298892975,480.4488298892975
full_domain,Full-domain PINN,1.1,165.0,1,0.010328139479326304,0.0,0.010328139479326304,0.010328139479326304,0.011261859965083682,0.0,0.011261859965083682,0.011261859965083682,0.0041602824398644335,0.0,0.0041602824398644335,0.0041602824398644335,0.012684794990915911,0.0,0.012684794990915911,0.012684794990915911,0.010370606345077315,0.0,0.010370606345077315,0.010370606345077315,0.002314188645838596,0.0,0.002314188645838596,0.002314188645838596,0.9870520534459867,0.0,0.9870520534459867,0.9870520534459867,0.9896293936549231,0.0,0.9896293936549231,0.9896293936549231,0.0025773402089364073,0.0,0.0025773402089364073,0.0025773402089364073,0.00026315156309741905,0.0,0.00026315156309741905,0.00026315156309741905,735.6175422668457,0.0,735.6175422668457,735.6175422668457
hybrid_optimized,Optimized hybrid PINN,0.9,135.0,1,1.199585537162231e-05,0.0,1.199585537162231e-05,1.199585537162231e-05,8.366898307387281e-06,0.0,8.366898307387281e-06,8.366898307387281e-06,1.535199968448634e-05,0.0,1.535199968448634e-05,1.535199968448634e-05,0.010369136939294117,0.0,0.010369136939294117,0.010369136939294117,0.010370606345077384,0.0,0.010370606345077384,0.010370606345077384,1.4694057832668334e-06,0.0,1.4694057832668334e-06,1.4694057832668334e-06,0.9896563010008608,0.0,0.9896563010008608,0.9896563010008608,0.9896293936549228,0.0,0.9896293936549228,0.9896293936549228,2.690734593802091e-05,0.0,2.690734593802091e-05,2.690734593802091e-05,2.5437940154970917e-05,0.0,2.5437940154970917e-05,2.5437940154970917e-05,127.6143548488617,0.0,127.6143548488617,127.6143548488617
hybrid_optimized,Optimized hybrid PINN,0.95,142.5,1,1.703938700005169e-05,0.0,1.703938700005169e-05,1.703938700005169e-05,1.5950812726254187e-05,0.0,1.5950812726254187e-05,1.5950812726254187e-05,1.443309334656105e-05,0.0,1.443309334656105e-05,1.443309334656105e-05,0.0026289437291222234,0.0,0.0026289437291222234,0.0026289437291222234,0.0026291172979987123,0.0,0.0026291172979987123,0.0026291172979987123,1.7356887648889777e-07,0.0,1.7356887648889777e-07,1.7356887648889777e-07,0.9974172806376466,0.0,0.9974172806376466,0.9974172806376466,0.9973708827020016,0.0,0.9973708827020016,0.9973708827020016,4.6397935644981736e-05,0.0,4.6397935644981736e-05,4.6397935644981736e-05,4.622436676871011e-05,0.0,4.622436676871011e-05,4.622436676871011e-05,92.42606949806213,0.0,92.42606949806213,92.42606949806213
hybrid_optimized,Optimized hybrid PINN,1.0,150.0,1,6.779421408132767e-05,0.0,6.779421408132767e-05,6.779421408132767e-05,7.056550009555984e-05,0.0,7.056550009555984e-05,7.056550009555984e-05,2.4083492652766895e-05,0.0,2.4083492652766895e-05,2.4083492652766895e-05,4.979489803804629e-09,0.0,4.979489803804629e-09,4.979489803804629e-09,3.357010549630938e-31,0.0,3.357010549630938e-31,3.357010549630938e-31,4.979489803804629e-09,0.0,4.979489803804629e-09,4.979489803804629e-09,1.000003382253618,0.0,1.000003382253618,1.000003382253618,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,3.3822536181782326e-06,0.0,3.3822536181782326e-06,3.3822536181782326e-06,3.387233107776666e-06,0.0,3.387233107776666e-06,3.387233107776666e-06,87.40203523635864,0.0,87.40203523635864,87.40203523635864
hybrid_optimized,Optimized hybrid PINN,1.05,157.5,1,4.647085112133598e-05,0.0,4.647085112133598e-05,4.647085112133598e-05,4.4832930382478043e-05,0.0,4.4832930382478043e-05,4.4832930382478043e-05,3.5000756692424564e-05,0.0,3.5000756692424564e-05,3.5000756692424564e-05,0.0026330656268709514,0.0,0.0026330656268709514,0.0026330656268709514,0.0026291172979987006,0.0,0.0026291172979987006,0.0026291172979987006,3.948328872250759e-06,0.0,3.948328872250759e-06,3.948328872250759e-06,0.9972819965435319,0.0,0.9972819965435319,0.9972819965435319,0.9973708827020011,0.0,0.9973708827020011,0.9973708827020011,8.888615846924797e-05,0.0,8.888615846924797e-05,8.888615846924797e-05,8.493782959717588e-05,0.0,8.493782959717588e-05,8.493782959717588e-05,89.84471273422241,0.0,89.84471273422241,89.84471273422241
hybrid_optimized,Optimized hybrid PINN,1.1,165.0,1,4.2529663680958707e-05,0.0,4.2529663680958707e-05,4.2529663680958707e-05,4.3857362823780694e-05,0.0,4.3857362823780694e-05,4.3857362823780694e-05,2.1367180773303032e-05,0.0,2.1367180773303032e-05,2.1367180773303032e-05,0.010377761875484781,0.0,0.010377761875484781,0.010377761875484781,0.010370606345077315,0.0,0.010370606345077315,0.010370606345077315,7.155530407466221e-06,0.0,7.155530407466221e-06,7.155530407466221e-06,0.9895851752921366,0.0,0.9895851752921366,0.9895851752921366,0.9896293936549231,0.0,0.9896293936549231,0.9896293936549231,4.42183627864523e-05,0.0,4.42183627864523e-05,4.42183627864523e-05,3.7062832378587096e-05,0.0,3.7062832378587096e-05,3.7062832378587096e-05,96.16008806228638,0.0,96.16008806228638,96.16008806228638
